epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0931,1.03932,5.43813,0.65346,0.71099,0.02779,18.0883,0.98909,0.9797,0.98989,0.64937,0.77945,0.77157,0.71742,0.21082,1.30808,3.67216,0.27881,0.37754,0.06802,0,0.000659864,0.000659864,0.000659864
2,81.7575,1.12739,3.57826,0.47392,0.41079,0.02931,10.2516,0.89107,0.95509,0.96632,0.64545,0.44804,0.48731,0.31492,0.07826,1.19314,4.23892,0.18664,0.50826,0.06022,0,0.0013134,0.0013134,0.0013134
3,116.86,1.20389,2.96115,0.42948,0.47138,0.03103,8.7863,0.94968,0.95811,0.95482,0.45867,0.94749,0.95939,0.9528,0.48125,1.93773,1.99788,0.37399,0.63382,0.10299,0,0.00195373,0.00195373,0.00195373
4,153.14,1.22882,2.68112,0.38063,0.42295,0.03004,8.00221,0.84548,0.93401,0.93446,0.63642,0.81831,0.90355,0.90435,0.46145,1.21095,1.91898,0.21063,0.83823,0.05794,0,0.0019406,0.0019406,0.0019406
5,189.361,1.01213,2.16372,0.34273,0.39655,0.02507,7.0233,0.98434,0.95701,0.98142,0.77744,0.98434,0.95701,0.98142,0.74439,0.87576,1.04026,0.21417,0.32377,0.04203,0,0.0019208,0.0019208,0.0019208
6,224.488,0.94294,2.13573,0.31382,0.36191,0.02299,6.8066,0.96905,0.95358,0.98572,0.75911,0.93271,0.95939,0.97286,0.72708,0.92596,1.16542,0.2146,0.40665,0.04468,0,0.001901,0.001901,0.001901
7,258.784,0.95879,2.15802,0.30638,0.35869,0.02376,6.74997,0.90539,0.97462,0.97507,0.82539,0.90041,0.96954,0.96851,0.70997,0.65639,1.15736,0.38254,0.34646,0.03072,0,0.0018812,0.0018812,0.0018812
8,295.137,0.86672,2.09777,0.28267,0.34288,0.02151,6.89303,0.9692,0.95832,0.98055,0.81226,0.97433,0.96339,0.98637,0.77791,0.78021,0.9827,0.1721,0.32453,0.03647,0,0.0018614,0.0018614,0.0018614
9,330.347,0.85015,1.93142,0.26217,0.31572,0.02041,6.2409,0.98502,0.98477,0.98981,0.85411,0.98502,0.98477,0.99249,0.79295,0.60782,0.97444,0.2102,0.2345,0.02807,0,0.0018416,0.0018416,0.0018416
10,368.747,0.7825,1.70545,0.2588,0.31005,0.019,6.0123,0.98341,0.98477,0.98875,0.80329,0.98341,0.98477,0.988,0.80476,0.83917,0.96376,0.2389,0.29684,0.03992,0,0.0018218,0.0018218,0.0018218
