epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5272,1.03954,5.17634,0.64829,0.67059,0.02763,17.2349,0.72387,0.88272,0.73342,0.36069,0.60729,0.71797,0.52594,0.17953,1.73227,3.92283,0.35872,0.99972,0.08308,0,0.000661578,0.000661578,0.000661578
2,79.2494,1.09482,2.91738,0.45429,0.40353,0.02809,8.75803,0.94,0.95911,0.97936,0.69513,0.92502,0.94413,0.96125,0.62945,1.132,1.42435,0.26319,0.43796,0.05698,0,0.00131509,0.00131509,0.00131509
3,119.127,1.22156,2.65102,0.37715,0.45447,0.03064,7.96112,0.96465,0.97452,0.98518,0.74153,0.96465,0.97452,0.9854,0.47151,0.96886,1.92857,0.19359,0.46086,0.04597,0,0.00195541,0.00195541,0.00195541
4,157.817,1.06941,2.32993,0.33681,0.39309,0.02638,7.24672,0.92591,0.87755,0.93786,0.53523,0.90253,0.8504,0.89752,0.56246,1.49759,1.63872,0.27988,0.8583,0.07281,0,0.0019406,0.0019406,0.0019406
5,197.644,0.99757,2.04405,0.3197,0.37512,0.02433,6.73863,0.93996,0.95853,0.96912,0.67299,0.93996,0.95853,0.96965,0.71452,1.20199,1.09594,0.26825,0.60171,0.05688,0,0.0019208,0.0019208,0.0019208
6,237.515,0.93457,1.97792,0.28807,0.36107,0.02247,6.34972,0.94067,0.97063,0.98879,0.7396,0.93078,0.96042,0.97965,0.71818,0.99983,1.15627,0.27754,0.37314,0.04702,0,0.001901,0.001901,0.001901
7,276.427,0.87612,1.84913,0.27464,0.3367,0.02113,6.19494,0.96066,0.94898,0.98707,0.74368,0.96066,0.94898,0.9884,0.73628,0.98222,1.11287,0.24769,0.36306,0.04558,0,0.0018812,0.0018812,0.0018812
8,316.718,0.86468,1.85269,0.26386,0.35401,0.02149,6.1659,0.97016,0.97449,0.99146,0.81714,0.97542,0.97959,0.99308,0.78235,0.74789,0.89984,0.23826,0.31463,0.0351,0,0.0018614,0.0018614,0.0018614
9,355.74,0.85128,1.71935,0.25036,0.32909,0.02029,5.99181,0.98451,0.97263,0.99169,0.87505,0.98451,0.97263,0.99259,0.81784,0.577,0.82092,0.24448,0.27338,0.0266,0,0.0018416,0.0018416,0.0018416
10,393.887,0.76315,1.66108,0.24785,0.29179,0.01821,5.43897,0.97616,0.9898,0.98953,0.79718,0.97616,0.9898,0.98604,0.79026,0.84794,0.85503,0.1804,0.28932,0.0399,0,0.0018218,0.0018218,0.0018218
