epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2606,1.76324,7.84331,0.70071,2.28043,0.04964,30.5377,0.8211,0.86069,0.87342,0.21265,0,0,0,0,2.72783,9.63106,0.66658,1.03482,0.18117,0,0.00044,0.00044,0.00044
2,38.5046,1.42733,5.61488,0.68852,0.49878,0.03793,18.3661,0.69451,0.6875,0.64141,0.1443,0,0,0,0,3.19952,8.70303,0.55779,1.01387,0.20824,0,0.000895545,0.000895545,0.000895545
3,56.0258,1.43687,4.88208,0.64319,0.53672,0.03842,14.0483,0.80417,0.76997,0.79245,0.26439,0.3825,0.45833,0.22531,0.04408,2.30222,5.18311,0.38965,0.92994,0.11412,0,0.00134654,0.00134654,0.00134654
4,72.9876,1.29898,4.63927,0.61003,0.53776,0.03465,12.1887,0.68361,0.85529,0.82805,0.34116,0.64901,0.45833,0.46099,0.09647,2.20513,4.23832,0.485,0.90399,0.10577,0,0.00179297,0.00179297,0.00179297
5,90.5085,1.77906,4.40667,0.55507,0.703,0.0476,12.4524,0.86766,0.6875,0.81297,0.4568,0.73619,0.58333,0.64952,0.28162,1.39888,2.51651,0.22593,1.30295,0.06692,0,0.0019604,0.0019604,0.0019604
6,108.155,1.49287,3.62464,0.5166,0.57143,0.03868,10.7297,0.61667,0.70833,0.59251,0.30816,0.50871,0.58245,0.42577,0.16858,1.62737,3.50557,0.21668,1.39302,0.07864,0,0.0019505,0.0019505,0.0019505
7,124.268,1.52719,3.75757,0.50801,0.54385,0.03832,10.583,0.62687,0.91667,0.79351,0.37471,0.46285,0.6875,0.48851,0.15055,2.01934,3.83246,0.23747,0.98666,0.10468,0,0.0019406,0.0019406,0.0019406
8,141.965,1.4581,3.27273,0.47505,0.53492,0.03736,9.97221,0.62031,0.77083,0.78583,0.433,0.56295,0.80512,0.62996,0.26461,1.51988,2.73949,0.26447,1.68854,0.0722,0,0.0019307,0.0019307,0.0019307
9,159.697,1.30681,2.98966,0.45673,0.42776,0.03245,9.32607,0.79409,0.95833,0.9462,0.50621,0.80088,0.95833,0.95327,0.42164,1.76026,2.47695,0.22149,1.94632,0.08459,0,0.0019208,0.0019208,0.0019208
10,175.653,1.2355,3.06486,0.43027,0.46011,0.03139,8.91902,0.88913,0.83544,0.88136,0.4726,0.77053,0.83953,0.77018,0.3398,1.76505,2.3448,0.22182,0.72881,0.08456,0,0.0019109,0.0019109,0.0019109
11,192.778,1.25982,2.77149,0.42342,0.46831,0.03154,8.61994,0.83067,0.85417,0.85726,0.3875,0.83067,0.85417,0.8542,0.51893,1.94676,1.69864,0.28223,0.7764,0.09193,0,0.001901,0.001901,0.001901
12,211.05,1.11324,2.48016,0.39604,0.43059,0.02755,7.85897,0.8117,0.52083,0.65495,0.32958,0.79795,0.52083,0.58445,0.29973,1.93693,2.85694,0.25164,2.55881,0.09404,0,0.0018911,0.0018911,0.0018911
13,227.941,1.19478,2.40714,0.40432,0.45137,0.03097,7.77703,0.86318,0.97917,0.95179,0.68944,0.80721,0.91667,0.84885,0.54476,1.12494,1.89039,0.23554,0.45298,0.0511,0,0.0018812,0.0018812,0.0018812
14,244.67,1.08579,2.12777,0.39254,0.44637,0.0265,7.35139,0.91539,0.90165,0.95301,0.56881,0.81972,0.85256,0.81104,0.3583,1.57869,2.5177,0.21891,0.5661,0.07422,0,0.0018713,0.0018713,0.0018713
15,262.045,1.09833,2.03244,0.39496,0.38581,0.02743,7.25407,0.91462,0.97917,0.99191,0.61807,0.84627,0.91751,0.87295,0.55774,1.31201,1.73013,0.43713,0.64626,0.06209,0,0.0018614,0.0018614,0.0018614
16,278.798,1.05103,1.9487,0.34725,0.38928,0.02614,6.77161,0.93984,0.97649,0.96943,0.60612,0.93984,0.97649,0.9772,0.56478,1.36366,1.79562,0.26523,0.67097,0.06438,0,0.0018515,0.0018515,0.0018515
17,294.04,1.01575,2.06527,0.33821,0.359,0.02501,6.86522,0.93646,0.95833,0.97357,0.80439,0.93646,0.95833,0.97979,0.6955,0.73115,1.24482,0.22876,0.33081,0.03384,0,0.0018416,0.0018416,0.0018416
18,310.296,1.01015,2.17625,0.34625,0.38739,0.02448,7.11514,0.93725,0.93365,0.9628,0.75234,0.93725,0.93365,0.97129,0.69103,0.92889,1.22163,0.24555,0.49649,0.04197,0,0.0018317,0.0018317,0.0018317
19,327.712,1.00796,1.80295,0.34199,0.35933,0.02534,6.81743,0.94403,1,0.97869,0.7432,0.94403,1,0.98173,0.73748,0.95438,1.09286,0.27737,0.4047,0.04234,0,0.0018218,0.0018218,0.0018218
20,344.706,0.97188,1.94134,0.34002,0.38063,0.02282,6.56604,0.93974,0.97476,0.97505,0.68611,0.8595,0.8922,0.91976,0.67908,1.15197,1.55434,0.21629,0.40428,0.05536,0,0.0018119,0.0018119,0.0018119
21,361.2,0.92233,1.86944,0.34135,0.34395,0.02206,6.3293,0.93569,0.90949,0.97775,0.79786,0.93569,0.90949,0.97725,0.72864,0.75912,1.17445,0.20977,0.34059,0.03464,0,0.001802,0.001802,0.001802
22,379.003,0.96976,1.69392,0.33228,0.35875,0.02477,6.51273,0.93056,0.83757,0.91794,0.69662,0.95522,0.88882,0.91233,0.69575,1.06365,1.48641,0.31007,0.91536,0.04875,0,0.0017921,0.0017921,0.0017921
23,396.244,0.92018,1.63914,0.34989,0.35507,0.02201,6.13417,0.97724,0.89467,0.96988,0.72138,0.96629,0.875,0.94788,0.75333,1.0083,1.12175,0.25823,0.62703,0.04561,0,0.0017822,0.0017822,0.0017822
24,411.637,0.96531,1.80828,0.33742,0.36649,0.02383,6.01789,0.97956,0.9983,0.99378,0.76156,0.97956,0.9983,0.99459,0.6922,1.01003,1.38481,0.29004,0.28984,0.04836,0,0.0017723,0.0017723,0.0017723
25,427.28,0.93596,1.58885,0.32921,0.39741,0.0228,5.99196,0.9746,1,0.99378,0.72661,0.9746,1,0.9752,0.76475,1.07143,1.02197,0.25198,0.42096,0.04823,0,0.0017624,0.0017624,0.0017624
26,444.356,0.89055,1.53806,0.33905,0.36689,0.02202,6.02876,0.95905,0.9758,0.97862,0.782,0.95905,0.9758,0.96806,0.74019,0.85567,1.14638,0.23344,0.34374,0.0394,0,0.0017525,0.0017525,0.0017525
27,461.256,0.92629,1.69764,0.34092,0.36888,0.02343,6.31013,0.92307,0.99986,0.97241,0.73314,0.92307,0.99986,0.97189,0.81829,1.00447,0.85519,0.29588,0.33118,0.04546,0,0.0017426,0.0017426,0.0017426
28,478.156,0.86414,1.68704,0.33881,0.33076,0.02111,6.04133,0.93874,0.95778,0.96957,0.69881,0.93874,0.95778,0.97005,0.7979,1.14141,0.93843,0.35317,0.38092,0.05265,0,0.0017327,0.0017327,0.0017327
