epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2565,1.80872,8.1296,0.69467,3.27199,0.05096,33.3782,0.89821,0.91316,0.94621,0.40067,0,0,0,0,2.11929,9.93487,0.70121,1.08685,0.10754,0,0.00026,0.00026,0.00026
2,30.8439,1.18937,7.10642,0.69935,0.69736,0.03108,24.6528,0.55191,0.62069,0.46861,0.21356,0,0,0,0,2.08938,8.82375,0.64098,1.22734,0.09399,0,0.000534654,0.000534654,0.000534654
3,41.7412,1.25219,5.49935,0.6806,0.4375,0.03272,18.1022,0.53833,0.31034,0.2641,0.07001,0.15198,0.03448,0.00969,0.00194,3.77892,8.421,0.68482,2.11169,0.18436,0,0.000803764,0.000803764,0.000803764
4,48.6161,1.3543,4.81825,0.66825,0.48122,0.03732,15.4203,0.66291,0.62069,0.58037,0.23263,0.32698,0.24138,0.17715,0.02831,2.50158,6.51218,0.64673,1.18676,0.11592,0,0.00106733,0.00106733,0.00106733
5,54.9906,1.32185,4.38214,0.63762,0.51097,0.03405,13.9688,0.81256,0.89691,0.93426,0.39662,0.45399,0.71692,0.46121,0.13853,1.90443,4.05851,0.60621,1.48909,0.10129,0,0.00132535,0.00132535,0.00132535
6,61.5085,1.54613,4.13559,0.5926,0.59313,0.04329,12.1846,0.69644,0.75862,0.77969,0.37033,0.56982,0.62069,0.54073,0.1473,2.00993,4.23483,0.40059,1.33675,0.10086,0,0.00157783,0.00157783,0.00157783
7,67.8775,1.35691,4.06441,0.53911,0.56421,0.03485,10.6076,0.50847,0.71361,0.44851,0.20928,0.45959,0.68966,0.41975,0.12446,2.07428,4.90281,0.43915,2.65931,0.09597,0,0.00182476,0.00182476,0.00182476
8,74.2465,1.64742,3.77019,0.52403,0.55185,0.0422,10.4165,0.35915,0.72414,0.3177,0.07749,0.21638,0.37931,0.16879,0.04337,3.0124,6.21068,0.3784,3.26014,0.14495,0,0.0018614,0.0018614,0.0018614
9,80.5016,1.49135,3.48322,0.51202,0.50472,0.03931,10.1654,0.53812,0.7931,0.51808,0.17045,0.30956,0.44828,0.21645,0.07822,2.55478,5.07012,0.27453,2.98493,0.11892,0,0.0018416,0.0018416,0.0018416
10,86.8478,1.66747,3.47657,0.51046,0.53372,0.04542,10.1888,0.77129,0.89655,0.78197,0.19275,0.07402,0.06897,0.02487,0.00328,2.94142,7.89261,0.22856,1.28862,0.15615,0,0.0018218,0.0018218,0.0018218
11,93.2105,1.60574,4.47244,0.48891,0.60281,0.04789,11.5509,0.82191,0.96552,0.85978,0.34016,0.46879,0.37931,0.29886,0.04402,2.30012,5.32797,0.21229,0.84758,0.1245,0,0.001802,0.001802,0.001802
12,99.541,1.50394,3.7226,0.47106,0.60299,0.03878,10.3613,0.51576,0.73472,0.6253,0.17411,0.34813,0.41379,0.21162,0.03806,2.4968,4.94627,0.21131,2.11307,0.11783,0,0.0017822,0.0017822,0.0017822
13,105.908,1.44051,3.95809,0.4472,0.58311,0.03704,10.5489,0.8463,1,0.91804,0.70078,0.75785,0.89655,0.86773,0.30128,0.88789,3.24491,0.34091,0.57792,0.04058,0,0.0017624,0.0017624,0.0017624
14,112.466,1.31068,3.41621,0.41557,0.4788,0.03403,9.91286,0.92868,0.86207,0.92147,0.62372,0.79503,0.72414,0.73661,0.18513,1.22314,4.067,0.24256,0.60392,0.05563,0,0.0017426,0.0017426,0.0017426
